Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
Wartungsplan 2024 - Q4,NET-WL-AP-06,Network,,10.100.15.236,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-07,Network,,10.100.15.237,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-08,Network,,10.100.15.238,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-09,Network,,10.100.15.239,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-10,Network,,10.100.15.240,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-11,Network,,10.100.15.241,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-12,Network,,10.100.15.242,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-13,Network,,10.100.15.245,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-14,Network,,10.100.15.246,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-CTL-01,Network,,10.100.15.230,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,SV-APP-03,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,135.135.32.101,OS Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,SV-APP-04,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.105,OS Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,SV-BI-APP-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.131,OS Updates,SV-BI-APP-01,1635266155442036736,SV-BI-APP-01,Microsoft Windows Server 2012 R2 Datacenter,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
Wartungsplan 2024 - Q4,SV-BI-DB-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.132,OS Updates,SV-BI-DB-01,5230272169006956544,SV-BI-DB-01,Microsoft Windows Server 2012 R2 Datacenter,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
Wartungsplan 2024 - Q4,SV-CEE-APP-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.121,OS Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,SV-CEE-BI-01,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,10.100.15.135,OS Updates,SV-CEE-BI-01,1635266204389564416,SV-CEE-BI-01,Microsoft Windows Server 2012 R2 Datacenter,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
